CMDLINE python combinedNN.py
MEM 0.660156 1494923751.1585
MEM 23.710938 1494923751.2684
MEM 27.343750 1494923751.3784
MEM 32.382812 1494923751.4889
MEM 61.167969 1494923751.5992
MEM 73.890625 1494923751.7093
MEM 150.714844 1494923751.8209
MEM 307.054688 1494923751.9313
MEM 367.742188 1494923752.0424
MEM 351.871094 1494923752.1522
MEM 359.839844 1494923752.2628
MEM 368.406250 1494923752.3731
MEM 375.578125 1494923752.4831
MEM 386.066406 1494923752.5929
MEM 389.039062 1494923752.7037
MEM 404.593750 1494923752.8140
MEM 428.871094 1494923752.9244
MEM 409.015625 1494923753.0346
MEM 431.179688 1494923753.1454
MEM 392.312500 1494923753.2559
MEM 427.679688 1494923753.3683
MEM 392.312500 1494923753.4794
MEM 397.714844 1494923753.5909
MEM 419.937500 1494923753.7066
MEM 663.605469 1494923753.8179
MEM 893.367188 1494923753.9413
MEM 898.488281 1494923754.0658
MEM 898.746094 1494923754.1809
MEM 898.746094 1494923754.2926
MEM 898.746094 1494923754.4065
MEM 898.746094 1494923754.5212
MEM 898.746094 1494923754.6318
MEM 898.746094 1494923754.7550
MEM 898.746094 1494923754.8698
MEM 898.746094 1494923754.9860
MEM 898.746094 1494923755.0966
MEM 898.746094 1494923755.2071
MEM 898.746094 1494923755.3201
MEM 898.746094 1494923755.4384
MEM 910.035156 1494923755.5527
MEM 925.097656 1494923755.6632
MEM 901.210938 1494923755.7731
MEM 914.160156 1494923755.8833
MEM 902.691406 1494923755.9936
MEM 904.644531 1494923756.1035
MEM 905.304688 1494923756.2136
MEM 905.304688 1494923756.3235
MEM 906.367188 1494923756.4334
MEM 908.488281 1494923756.5433
MEM 1046.675781 1494923756.6534
MEM 1166.417969 1494923756.7633
MEM 1168.808594 1494923756.8736
MEM 1171.808594 1494923756.9838
MEM 1173.453125 1494923757.0940
MEM 1175.496094 1494923757.2042
MEM 1176.527344 1494923757.3144
MEM 1176.785156 1494923757.4247
MEM 1179.062500 1494923757.5349
MEM 1180.113281 1494923757.6453
MEM 1183.917969 1494923757.7555
MEM 1184.960938 1494923757.8653
MEM 1187.226562 1494923757.9759
MEM 1188.082031 1494923758.0858
MEM 1191.718750 1494923758.1956
MEM 1195.039062 1494923758.3055
MEM 1195.644531 1494923758.4153
MEM 1197.945312 1494923758.5255
MEM 1197.945312 1494923758.6359
MEM 1198.714844 1494923758.7460
MEM 1200.757812 1494923758.8562
MEM 1203.070312 1494923758.9661
MEM 1204.445312 1494923759.0759
MEM 1207.406250 1494923759.1858
MEM 1211.773438 1494923759.2957
MEM 1235.554688 1494923759.4058
MEM 1238.085938 1494923759.5158
MEM 1238.800781 1494923759.6265
MEM 1238.800781 1494923759.7379
MEM 1238.800781 1494923759.8479
MEM 1238.800781 1494923759.9581
MEM 1238.800781 1494923760.0681
MEM 1238.800781 1494923760.1781
MEM 1238.800781 1494923760.2880
MEM 1238.800781 1494923760.3979
MEM 1238.800781 1494923760.5091
MEM 1239.085938 1494923760.6202
MEM 1239.867188 1494923760.7304
MEM 1241.367188 1494923760.8406
MEM 1243.375000 1494923760.9509
MEM 1244.363281 1494923761.0613
MEM 1244.363281 1494923761.1715
MEM 1245.375000 1494923761.2816
MEM 1246.890625 1494923761.3920
MEM 1247.617188 1494923761.5022
MEM 1248.894531 1494923761.6125
MEM 1249.871094 1494923761.7225
MEM 1250.128906 1494923761.8325
MEM 1251.417969 1494923761.9426
MEM 1251.417969 1494923762.0538
MEM 1251.671875 1494923762.1648
MEM 1252.875000 1494923762.2751
MEM 1253.902344 1494923762.3858
MEM 1254.113281 1494923762.4977
MEM 1255.113281 1494923762.6080
MEM 1256.367188 1494923762.7181
MEM 1257.113281 1494923762.8286
MEM 1257.867188 1494923762.9387
MEM 1260.531250 1494923763.0487
MEM 1263.644531 1494923763.1588
MEM 1515.894531 1494923763.2692
MEM 1751.042969 1494923763.3794
MEM 1751.042969 1494923763.4892
MEM 1751.042969 1494923763.6063
MEM 1751.042969 1494923763.7216
MEM 1751.042969 1494923763.8316
MEM 1751.042969 1494923763.9435
MEM 1751.042969 1494923764.0534
MEM 1751.218750 1494923764.1643
MEM 1751.218750 1494923764.2742
MEM 1751.218750 1494923764.3844
MEM 1751.218750 1494923764.4946
MEM 1751.218750 1494923764.6050
MEM 1751.218750 1494923764.7155
MEM 1751.218750 1494923764.8255
MEM 1751.218750 1494923764.9355
MEM 1751.218750 1494923765.0455
MEM 1751.218750 1494923765.1557
MEM 1751.218750 1494923765.2658
MEM 1751.218750 1494923765.3763
MEM 1751.218750 1494923765.4865
MEM 1751.218750 1494923765.5965
MEM 1751.218750 1494923765.7066
MEM 1751.218750 1494923765.8171
MEM 1751.218750 1494923765.9270
MEM 1751.218750 1494923766.0373
MEM 1751.218750 1494923766.1472
MEM 1751.218750 1494923766.2575
MEM 1751.218750 1494923766.3674
MEM 1751.218750 1494923766.4776
MEM 1751.218750 1494923766.5878
MEM 1751.218750 1494923766.6979
MEM 1751.218750 1494923766.8080
MEM 1751.218750 1494923766.9183
MEM 1751.218750 1494923767.0287
MEM 1751.218750 1494923767.1388
MEM 1751.218750 1494923767.2488
MEM 1751.218750 1494923767.3587
MEM 1751.218750 1494923767.4687
MEM 1751.218750 1494923767.5785
MEM 1751.218750 1494923767.6884
MEM 1751.218750 1494923767.7981
MEM 1751.218750 1494923767.9088
MEM 1751.218750 1494923768.0204
FUNC __main__.main 406.2695 1494923753.6835 1751.2188 1494923772.0509
MEM 1751.218750 1494923768.1329
MEM 1751.218750 1494923768.2443
MEM 1751.218750 1494923768.3546
MEM 1751.218750 1494923768.4677
MEM 1751.218750 1494923768.5801
MEM 1751.218750 1494923768.6903
MEM 1751.218750 1494923768.8004
MEM 1751.218750 1494923768.9128
MEM 1751.218750 1494923769.0230
MEM 1751.218750 1494923769.1331
MEM 1751.218750 1494923769.2434
MEM 1751.218750 1494923769.3538
MEM 1751.218750 1494923769.4644
MEM 1751.218750 1494923769.5749
MEM 1751.218750 1494923769.6859
MEM 1751.218750 1494923769.7965
MEM 1751.218750 1494923769.9071
MEM 1751.218750 1494923770.0171
MEM 1751.218750 1494923770.1273
MEM 1751.218750 1494923770.2375
MEM 1751.218750 1494923770.3476
MEM 1751.218750 1494923770.4577
MEM 1751.218750 1494923770.5687
MEM 1751.218750 1494923770.6794
MEM 1751.218750 1494923770.7898
MEM 1751.218750 1494923770.9003
MEM 1751.218750 1494923771.0110
MEM 1751.218750 1494923771.1220
MEM 1751.218750 1494923771.2326
MEM 1751.218750 1494923771.3430
MEM 1751.218750 1494923771.4532
MEM 1751.218750 1494923771.5634
MEM 1751.218750 1494923771.6741
MEM 1751.218750 1494923771.7841
MEM 1751.218750 1494923771.8941
MEM 1751.218750 1494923772.0051
MEM 1751.242188 1494923772.1161
MEM 1751.242188 1494923772.2263
MEM 1750.492188 1494923772.3364
MEM 0.000000 1494923772.4504
